##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	I062.003.WES.Tumor_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70723671
Total Bases	7.1 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.406265181002837	31.0	31.0	34.0	28.0	34.0
2	31.60091319354732	33.0	31.0	34.0	28.0	34.0
3	31.713667592283212	34.0	31.0	34.0	28.0	34.0
4	35.223214982717735	37.0	35.0	37.0	32.0	37.0
5	35.22687156609843	37.0	35.0	37.0	32.0	37.0
6	35.20058550128146	37.0	35.0	37.0	32.0	37.0
7	35.126311189361196	37.0	35.0	37.0	32.0	37.0
8	35.1909086845902	37.0	35.0	37.0	32.0	37.0
9	36.72337010051415	39.0	37.0	39.0	32.0	39.0
10-11	36.79479620762333	39.0	37.0	39.0	32.0	39.0
12-13	36.76980690100207	39.0	37.0	39.0	32.0	39.0
14-15	38.04025734891505	40.0	38.0	41.0	32.0	41.0
16-17	38.03391773173087	40.0	38.0	41.0	32.0	41.0
18-19	38.07861039198602	40.0	38.0	41.0	32.0	41.0
20-21	38.08675301229768	40.0	38.0	41.0	32.0	41.0
22-23	38.050331663354974	40.0	38.0	41.0	32.0	41.0
24-25	37.99604609042424	40.0	38.0	41.0	32.0	41.0
26-27	37.95106569058046	40.0	38.0	41.0	32.0	41.0
28-29	37.898865635806715	40.0	38.0	41.0	32.0	41.0
30-31	37.83137606785145	40.0	37.5	41.0	32.0	41.0
32-33	37.76585891589254	40.0	37.0	41.0	31.5	41.0
34-35	37.733970985471046	40.0	37.0	41.0	31.0	41.0
36-37	37.651338043524355	40.0	37.0	41.0	31.0	41.0
38-39	37.6066077014017	40.0	37.0	41.0	31.0	41.0
40-41	37.55364242899665	40.0	37.0	41.0	31.0	41.0
42-43	37.459079648170416	40.0	37.0	41.0	31.0	41.0
44-45	37.34503167970452	40.0	36.0	41.0	31.0	41.0
46-47	37.265698545257926	40.0	36.0	41.0	30.0	41.0
48-49	37.11637500406335	40.0	36.0	41.0	30.0	41.0
50-51	37.00299592762938	40.0	35.0	41.0	30.0	41.0
52-53	36.837760069043924	39.0	35.0	41.0	30.0	41.0
54-55	36.707407432230156	39.0	35.0	41.0	30.0	41.0
56-57	36.56143984663918	39.0	35.0	41.0	29.5	41.0
58-59	36.37534204778483	39.0	35.0	41.0	29.0	41.0
60-61	36.159777459798434	38.0	35.0	41.0	29.0	41.0
62-63	35.94321474771863	38.0	34.5	40.0	29.0	41.0
64-65	35.66678465403754	37.0	34.0	40.0	28.0	41.0
66-67	35.39623213987294	37.0	34.0	40.0	28.0	41.0
68-69	35.1143015822807	36.0	34.0	39.5	28.0	41.0
70-71	34.84809325720663	36.0	34.0	39.0	28.0	41.0
72-73	34.57353219122351	35.0	34.0	39.0	28.0	41.0
74-75	34.25754134708307	35.0	33.5	37.5	27.5	40.0
76-77	33.97068164066314	35.0	33.0	37.0	27.0	39.0
78-79	33.67931765730882	35.0	33.0	37.0	27.0	39.0
80-81	33.41327608687055	35.0	33.0	36.0	27.0	39.0
82-83	33.17382016270055	35.0	33.0	36.0	26.5	37.0
84-85	32.937639817933096	35.0	33.0	35.5	26.0	37.0
86-87	32.77575462676421	35.0	33.0	35.0	26.0	36.5
88-89	32.649489263644135	35.0	33.0	35.0	26.0	36.0
90-91	32.51193876092773	35.0	33.0	35.0	26.0	36.0
92-93	32.415989852958845	35.0	33.0	35.0	26.0	36.0
94-95	32.31749415977007	35.0	32.5	35.0	25.5	35.5
96-97	32.26247666074913	35.0	32.0	35.0	25.0	35.0
98-99	32.220812675292265	35.0	32.0	35.0	25.0	35.0
100-101	31.506476275814357	34.5	31.0	35.0	23.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.3950352208287242
1101	2	0.4815294344342469
1101	3	0.38137812764442813
1101	4	0.4058889885982353
1101	5	0.4274377921390098
1101	6	0.4298129678398581
1101	7	0.5185578801751163
1101	8	0.46108754710045474
1101	9	0.4887257561336398
1101	10-11	0.5444059812881221
1101	12-13	0.4980035929280078
1101	14-15	0.6213404417468382
1101	16-17	0.6060447091946912
1101	18-19	0.5999524436658916
1101	20-21	0.6150769517750234
1101	22-23	0.580235115725614
1101	24-25	0.6411488414080893
1101	26-27	0.5960936618045523
1101	28-29	0.6700380886709141
1101	30-31	0.6727421677676375
1101	32-33	0.6144632787553803
1101	34-35	0.6552600279823722
1101	36-37	0.6800682434688383
1101	38-39	0.6506290011355063
1101	40-41	0.6105519854887262
1101	42-43	0.654406945906338
1101	44-45	0.6862743439225412
1101	46-47	0.7090893442868946
1101	48-49	0.7096761475613391
1101	50-51	0.5259762146787068
1101	52-53	0.6944327399272723
1101	54-55	0.5595296907066682
1101	56-57	0.5895604665927863
1101	58-59	0.6523066330992293
1101	60-61	0.6611873346232002
1101	62-63	0.5813799887040574
1101	64-65	0.5996601398492629
1101	66-67	0.6120840910358893
1101	68-69	0.5688600771268213
1101	70-71	0.6031555046068249
1101	72-73	0.5861336631980478
1101	74-75	0.602105623558117
1101	76-77	0.5756053827120482
1101	78-79	0.5974074830520735
1101	80-81	0.562217510556053
1101	82-83	0.5900011610044515
1101	84-85	0.5888203629718092
1101	86-87	0.5466387569044997
1101	88-89	0.5384855742121175
1101	90-91	0.5259178522079324
1101	92-93	0.5078720491985393
1101	94-95	0.49935932078168577
1101	96-97	0.5385786046809926
1101	98-99	0.5307728389972013
1101	100-101	0.5291643454698267
1102	1	0.4925728992205016
1102	2	0.4932020285056389
1102	3	0.5049607327837897
1102	4	0.4977490381551277
1102	5	0.4543865035121115
1102	6	0.41392534953541116
1102	7	0.4445499768134127
1102	8	0.4166834053444788
1102	9	0.5552379901221585
1102	10-11	0.5526017141264248
1102	12-13	0.5110313834682003
1102	14-15	0.6511402916344196
1102	16-17	0.6703564388221395
1102	18-19	0.660384179329057
1102	20-21	0.6247778940158923
1102	22-23	0.6384740796490362
1102	24-25	0.6632536255887729
1102	26-27	0.6552092326024308
1102	28-29	0.6298009743229969
1102	30-31	0.6422599192113196
1102	32-33	0.6502778887605132
1102	34-35	0.6551499761144512
1102	36-37	0.7295395163991074
1102	38-39	0.6902800758540693
1102	40-41	0.6463313914065765
1102	42-43	0.6798615679432913
1102	44-45	0.6665960523617755
1102	46-47	0.6813903539233266
1102	48-49	0.6707927093817787
1102	50-51	0.6834603899550871
1102	52-53	0.6767808043477643
1102	54-55	0.6304280714430348
1102	56-57	0.5556643438147191
1102	58-59	0.6405816649485345
1102	60-61	0.6428286828858134
1102	62-63	0.6790475760963233
1102	64-65	0.6484027924064719
1102	66-67	0.636502066659709
1102	68-69	0.5974111244098879
1102	70-71	0.6182262458200114
1102	72-73	0.602043949075707
1102	74-75	0.6305362550473035
1102	76-77	0.6008714211336112
1102	78-79	0.5835430915123325
1102	80-81	0.5783777799975098
1102	82-83	0.5752874128177154
1102	84-85	0.5347053579269812
1102	86-87	0.5366860511674503
1102	88-89	0.5126589236520829
1102	90-91	0.5468370791242236
1102	92-93	0.5230824023292513
1102	94-95	0.551000005793945
1102	96-97	0.5189194293494168
1102	98-99	0.579788085953318
1102	100-101	0.5139733809312368
1103	1	0.3905547642284617
1103	2	0.3904239227834019
1103	3	0.3989480220354942
1103	4	0.38400602441482334
1103	5	0.35711091732135714
1103	6	0.32167235621811585
1103	7	0.4232836908935198
1103	8	0.3659730582978966
1103	9	0.4738768833865734
1103	10-11	0.4889226838140388
1103	12-13	0.4412016578499163
1103	14-15	0.5560016568287409
1103	16-17	0.5986424168104207
1103	18-19	0.5611262255167802
1103	20-21	0.5183726938363051
1103	22-23	0.5412027308090899
1103	24-25	0.573391635814744
1103	26-27	0.5770558629423519
